healthcare,0.0,20200101,ABW
vaccines,0.0,20200101,ABW
healthcare,0.0,20200102,ABW
vaccines,0.0,20200102,ABW
healthcare,0.0,20200103,ABW
vaccines,0.0,20200103,ABW
healthcare,0.0,20200104,ABW
vaccines,0.0,20200104,ABW
healthcare,0.0,20200105,ABW
vaccines,0.0,20200105,ABW
healthcare,0.0,20200106,ABW
vaccines,0.0,20200106,ABW
healthcare,0.0,20200107,ABW
vaccines,0.0,20200107,ABW
healthcare,0.0,20200108,ABW
vaccines,0.0,20200108,ABW
healthcare,0.0,20200109,ABW
vaccines,0.0,20200109,ABW
healthcare,0.0,20200110,ABW
vaccines,0.0,20200110,ABW
healthcare,0.0,20200111,ABW
vaccines,0.0,20200111,ABW
healthcare,0.0,20200112,ABW
vaccines,0.0,20200112,ABW
healthcare,0.0,20200113,ABW
vaccines,0.0,20200113,ABW
healthcare,0.0,20200114,ABW
vaccines,0.0,20200114,ABW
healthcare,0.0,20200115,ABW
vaccines,0.0,20200115,ABW
healthcare,0.0,20200116,ABW
vaccines,0.0,20200116,ABW
healthcare,0.0,20200117,ABW
vaccines,0.0,20200117,ABW
healthcare,0.0,20200118,ABW
vaccines,0.0,20200118,ABW
healthcare,0.0,20200119,ABW
vaccines,0.0,20200119,ABW
healthcare,0.0,20200120,ABW
vaccines,0.0,20200120,ABW
healthcare,0.0,20200121,ABW
vaccines,0.0,20200121,ABW
healthcare,0.0,20200122,ABW
vaccines,0.0,20200122,ABW
healthcare,0.0,20200123,ABW
vaccines,0.0,20200123,ABW
healthcare,0.0,20200124,ABW
vaccines,0.0,20200124,ABW
healthcare,0.0,20200125,ABW
vaccines,0.0,20200125,ABW
healthcare,0.0,20200126,ABW
vaccines,0.0,20200126,ABW
healthcare,0.0,20200127,ABW
vaccines,0.0,20200127,ABW
healthcare,0.0,20200128,ABW
vaccines,0.0,20200128,ABW
healthcare,0.0,20200129,ABW
vaccines,0.0,20200129,ABW
healthcare,0.0,20200130,ABW
vaccines,0.0,20200130,ABW
healthcare,0.0,20200131,ABW
vaccines,0.0,20200131,ABW
healthcare,0.0,20200201,ABW
vaccines,0.0,20200201,ABW
healthcare,0.0,20200202,ABW
vaccines,0.0,20200202,ABW
healthcare,0.0,20200203,ABW
vaccines,0.0,20200203,ABW
healthcare,0.0,20200204,ABW
vaccines,0.0,20200204,ABW
healthcare,0.0,20200205,ABW
vaccines,0.0,20200205,ABW
healthcare,0.0,20200206,ABW
vaccines,0.0,20200206,ABW
healthcare,0.0,20200207,ABW
vaccines,0.0,20200207,ABW
healthcare,0.0,20200208,ABW
vaccines,0.0,20200208,ABW
healthcare,0.0,20200209,ABW
vaccines,0.0,20200209,ABW
healthcare,0.0,20200210,ABW
vaccines,0.0,20200210,ABW
healthcare,0.0,20200211,ABW
vaccines,0.0,20200211,ABW
healthcare,0.0,20200212,ABW
vaccines,0.0,20200212,ABW
healthcare,0.0,20200213,ABW
vaccines,0.0,20200213,ABW
healthcare,0.0,20200214,ABW
vaccines,0.0,20200214,ABW
healthcare,0.0,20200215,ABW
vaccines,0.0,20200215,ABW
healthcare,0.0,20200216,ABW
vaccines,0.0,20200216,ABW
healthcare,0.0,20200217,ABW
vaccines,0.0,20200217,ABW
healthcare,0.0,20200218,ABW
vaccines,0.0,20200218,ABW
healthcare,0.0,20200219,ABW
vaccines,0.0,20200219,ABW
healthcare,0.0,20200220,ABW
vaccines,0.0,20200220,ABW
healthcare,0.0,20200221,ABW
vaccines,0.0,20200221,ABW
healthcare,0.0,20200222,ABW
vaccines,0.0,20200222,ABW
healthcare,0.0,20200223,ABW
vaccines,0.0,20200223,ABW
healthcare,0.0,20200224,ABW
vaccines,0.0,20200224,ABW
healthcare,0.0,20200225,ABW
vaccines,0.0,20200225,ABW
